,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,PCR_batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,kBET,iLISI,cLISI,hvg_overlap,trajectory
/mouse_brain/metrics/unscaled/hvg/scanorama_embed,0.5717124367,0.2586054495,0.5907923178,0.7946436122,0.8393590261,0.8826497651,0.9341620626,0.4805379249,0.9482550078,,0.0075901599,1,,
/mouse_brain/metrics/unscaled/full_feature/scanorama_embed,0.5284617398,0.2102619828,0.5839492311,0.734203101,0.4295937488,0.831735645,0.9355806973,0.4892405663,0.8045341363,,7.40148683083438E-17,1,,
/mouse_brain/metrics/scaled/hvg/scanorama_embed,0.6437545888,0.3909105372,0.5300837374,0.8526042716,0.9688623541,0.5965580963,0.9370952821,0.4516745694,0.9831518256,,0.0539410398,1,,
/mouse_brain/metrics/scaled/full_feature/scanorama_embed,,,,,,,,,,,,,,
/mouse_brain/metrics/unscaled/hvg/scanorama_full,0.5668595143,0.257531085,0.6001819447,0.7574072566,0.8403046183,0.8608328183,0.9297843047,0.4805379249,0.9473299014,,0.0241992124,1,0.5232613822,
/mouse_brain/metrics/unscaled/full_feature/scanorama_full,0.5589737136,0.2481414751,0.5930368826,0.6954050512,0.4369414971,0.8386466412,0.9216697936,0.4892405663,0.8033679025,,1.48029736616688E-16,1,,
/mouse_brain/metrics/scaled/hvg/scanorama_full,0.5888351103,0.3147365963,0.5579968765,0.8014847815,0.973985746,0.5872571911,0.9323308271,0.4516745694,0.884857536,,0.1605521264,1,0.3303212851,
/mouse_brain/metrics/scaled/full_feature/scanorama_full,,,,,,,,,,,,,,
/mouse_brain/metrics/unscaled/hvg/saucie_full,0.3570820968,0.0630797584,0.5795845762,0.6322522139,0,0.5272828019,0.1163618709,0.262209639,0.0328685084,,0.1692827892,0.9963717038,0.2998688139,
/mouse_brain/metrics/unscaled/full_feature/saucie_full,0.3215715687,0.0510817227,0.5665801018,0.5542184662,0,0.6319398196,0.1588376358,0.6096074209,0.0864291759,,0.0903378865,0.9931819885,,
/mouse_brain/metrics/scaled/hvg/saucie_full,0.3384025049,0.0478144292,0.5844503343,0.708686709,0.988321757,0.349734215,0.4116753838,0.6181674749,0.7285788932,,0.1879911413,0.9754879808,0.3268142711,
/mouse_brain/metrics/scaled/full_feature/saucie_full,0.3366080467,0.0533124532,0.5657843575,0.7396076381,0.9814748112,0.4323212633,0.7241970021,0.5756113902,0.5470651346,,0.1690995559,0.9834436148,,
/mouse_brain/metrics/unscaled/hvg/saucie_embed,0.3730659403,0.06835094,0.5562111959,0.661749889,0,0.5272819796,0.1135910343,0.262209639,0.0583480591,,0.168650094,0.9965407044,,
/mouse_brain/metrics/unscaled/full_feature/saucie_embed,0.3347086864,0.0603842815,0.5630184412,0.5535881357,0,0.6319465115,0.1231878832,0.6096074209,0.0861147742,,0.0907203017,0.9930801486,,
/mouse_brain/metrics/scaled/hvg/saucie_embed,0.3451345346,0.0505224444,0.5844326541,0.7087639454,0.9883209112,0.3497050668,0.6197370611,0.6181674749,0.7285324703,,0.1884703792,0.9756421777,,
/mouse_brain/metrics/scaled/full_feature/saucie_embed,0.3434173843,0.0533942671,0.5658094659,0.7397599506,0.9814757627,0.4323115528,0.7359685521,0.5756113902,0.5470647856,,0.1690777385,0.9835428007,,
/mouse_brain/metrics/unscaled/hvg/harmony_embed,0.5752507509,0.2641604343,0.7249517422,0.7589757391,0.9395610231,0.5045893727,0.9589225589,0.1706594229,0.9334285845,,0.0009101745,1,,
/mouse_brain/metrics/unscaled/full_feature/harmony_embed,0.5479236029,0.2276911539,0.6929187567,0.7451782196,0.9574655271,0.5673166632,0.9365042715,0.1672619879,0.9643291669,,7.40148683083438E-17,1,,
/mouse_brain/metrics/scaled/hvg/harmony_embed,0.5839606743,0.3370181877,0.6867186011,0.8849035981,0.9823510653,0.5405553355,0.8026362665,0.1706594229,0.9512182912,,0.1107686645,1,,
/mouse_brain/metrics/scaled/full_feature/harmony_embed,,,,,,,,,,,,,,
/mouse_brain/metrics/unscaled/hvg/bbknn_knn,0.7865941953,0.8992331719,,,,,0.589326484,,0.9883014296,,0.3518309011,0.9556139249,,
/mouse_brain/metrics/unscaled/full_feature/bbknn_knn,0.7891089331,0.8907380528,,,,,0.7489470793,,0.9882200633,,0.2658677319,0.9925103088,,
/mouse_brain/metrics/scaled/hvg/bbknn_knn,0.6892624781,0.6929724959,,,,,0.9123164763,,0.9889519414,,0.3893316867,0.9461297126,,
/mouse_brain/metrics/scaled/full_feature/bbknn_knn,0.7040363269,0.6936815544,,,,,0.9416684089,,0.990767244,,0.339857796,0.927657954,,
/mouse_brain/metrics/unscaled/hvg/scvi_embed,0.6178277419,0.3164589749,0.5947181061,0.7762018406,0.9387685935,0.6095519872,0.9345923538,0.6008319482,0.9729287023,,0.0174650054,1,,
/mouse_brain/metrics/unscaled/full_feature/scvi_embed,0.5564056169,0.2334484183,0.5934641957,0.7380916212,0.9212326153,0.6124544273,0.9367497692,0.5518090874,0.9837680883,,0.0036909659,1,,
/mouse_brain/metrics/unscaled/hvg/scanvi_embed,0.6335565501,0.3416667025,0.6904237419,0.7509182917,0.9510569773,0.6515020166,0.9335784877,0.6008319482,0.9815869008,,0.0415089152,1,,
/mouse_brain/metrics/unscaled/full_feature/scanvi_embed,0.591406279,0.2617665295,0.6369117796,0.7398330129,0.9138769914,0.6572448053,0.9904222899,0.5518090874,0.9827231969,,0.0114884124,1,,
/mouse_brain/metrics/unscaled/hvg/combat_full,0.5578923468,0.2478709729,0.6682401299,0.7637387989,1.0000000028,0.5815122693,0.934807648,0.5697603598,0.9774136072,,2.22044604925031E-16,1,0.4420225994,
/mouse_brain/metrics/unscaled/full_feature/combat_full,,,,,,,,,,,,,,
/mouse_brain/metrics/scaled/hvg/combat_full,0.5710878823,0.2674002141,0.7083725929,0.7769079944,0.9999999467,0.6248623813,0.9603067208,0.6284062713,0.979911497,,2.22044604925031E-16,1,0.2574003429,
/mouse_brain/metrics/scaled/full_feature/combat_full,,,,,,,,,,,,,,
