,metrics,AUC,AUC_scaled
0,scaled/full_feature/bbknn,27.40001712139877,0.6770022670366063
1,scaled/full_feature/combat,28.34930171134402,0.665811880945572
2,scaled/full_feature/conos,37.38171680034716,0.5593356848174351
3,scaled/full_feature/desc,42.97420465571626,0.4934101457600597
4,scaled/full_feature/fastmnn,37.027131659374966,0.5635156163908018
5,scaled/full_feature/harmony,34.70240889356235,0.5909199855121425
6,scaled/full_feature/mnn,53.02176905131371,0.37496713504211554
7,scaled/full_feature/saucie,28.52805077266476,0.6637047457083884
8,scaled/full_feature/scanorama,32.15624397806253,0.6209347658611334
9,scaled/full_feature/scgen,61.98321849179489,0.2693274983763072
10,scaled/full_feature/seurat,42.42017695422452,0.49994115232067216
11,scaled/full_feature/seuratrpca,41.10885136367883,0.5153993613811458
12,unscaled/full_feature/bbknn,28.576642514027547,0.6631319350334394
13,unscaled/full_feature/combat,31.286048441725566,0.6311928319136613
14,unscaled/full_feature/conos,33.742892790460196,0.6022309830443968
15,unscaled/full_feature/desc,44.612940457219864,0.4740923494803545
16,unscaled/full_feature/fastmnn,33.887476375720944,0.6005265983333935
17,unscaled/full_feature/harmony,34.885978285327106,0.5887560271058837
18,unscaled/full_feature/liger,46.10508702153401,0.4565025810000207
19,unscaled/full_feature/mnn,54.70675529821096,0.35510412782533296
20,unscaled/full_feature/saucie,30.105412514482786,0.645110441025545
21,unscaled/full_feature/scanorama,33.82341771717651,0.6012817366019155
22,unscaled/full_feature/scanvi,45.37125001208629,0.46515322123013714
23,unscaled/full_feature/scgen,56.78310634643877,0.33062762190045225
24,unscaled/full_feature/scvi,45.744872380248076,0.46074887442385637
25,unscaled/full_feature/seurat,40.320793593054525,0.524689168472436
26,unscaled/full_feature/seuratrpca,38.08889016508421,0.5509993617921559
27,unscaled/full_feature/trvae,49.81210494948338,0.4128033971098328
28,scaled/hvg/bbknn,22.554830424059006,0.7341184473693156
29,scaled/hvg/combat,21.21406530341523,0.7499236964129784
30,scaled/hvg/conos,35.42221831402043,0.582434705742296
31,scaled/hvg/desc,37.77499236453899,0.5546996615952213
32,scaled/hvg/fastmnn,31.10192764013146,0.6333632904663989
33,scaled/hvg/harmony,28.21902774829894,0.6673475805234697
34,scaled/hvg/mnn,46.108675532059245,0.4564602788087765
35,scaled/hvg/saucie,23.84643062539443,0.7188927657546647
36,scaled/hvg/scanorama,30.918482110689926,0.6355257887549716
37,scaled/hvg/scgen,52.40404617034801,0.38224899509598076
38,scaled/hvg/seurat,41.77427325629777,0.5075552143564248
39,scaled/hvg/seuratrpca,37.45113825382951,0.5585173286830402
40,unscaled/hvg/bbknn,22.407595426084782,0.7358540875460293
41,unscaled/hvg/combat,21.369405383987363,0.7480925116498139
42,unscaled/hvg/conos,33.032151253555355,0.6106093685076632
43,unscaled/hvg/desc,37.59442069136261,0.5568282822020978
44,unscaled/hvg/fastmnn,30.24412013827219,0.6434753235060846
45,unscaled/hvg/harmony,26.793286482781145,0.6841545479977694
46,unscaled/hvg/liger,36.97462425018166,0.5641345858629039
47,unscaled/hvg/mnn,49.73719102249633,0.4136864997910097
48,unscaled/hvg/saucie,23.853448600381494,0.7188100362439211
49,unscaled/hvg/scanorama,28.880885761876694,0.6595454453283673
50,unscaled/hvg/scanvi,37.82887118895368,0.554064525563606
51,unscaled/hvg/scgen,52.0858419958021,0.38600005943081106
52,unscaled/hvg/scvi,36.62719249799644,0.5682301916363648
53,unscaled/hvg/seurat,36.1990951471184,0.57327670212607
54,unscaled/hvg/seuratrpca,35.138453596515305,0.5857797897998374
55,unscaled/hvg/trvae,51.78525524272697,0.3895434455306055
