,methods,usab_score,Package,Paper
1,BBKNN,1.76118934944013,0.861189349440127,0.9
2,ComBat,1.47409980888656,0.77409980888656,0.7
3,ComBat (Scanpy),1.55030830698275,0.85030830698275,0.7
4,CONOS,1.65834063434311,0.658340634343114,1
5,DESC,1.13630260820262,0.336302608202622,0.8
6,FastMNN,0.879527797886585,0.679527797886585,0.2
7,Harmony,1.79710203151118,0.797102031511183,1
8,LIGER,1.51194307034672,0.861943070346718,0.65
9,MNN,1.63309922645801,0.733099226458014,0.9
10,MNNpy,1.2988513631175,0.398851363117497,0.9
11,SAUCIE,1.23548731879818,0.435487318798176,0.8
12,Scanorama,1.73650352451423,0.836503524514229,0.9
13,scANVI,1.13464857841837,0.684648578418373,0.45
14,scGen,1.22040628203486,0.720406282034856,0.5
15,scVI,1.35964857841837,0.809648578418373,0.55
16,Seurat v3,1.77354203869048,0.923542038690476,0.85
17,TrVAE,0.982680717816637,0.582680717816637,0.4
