,metrics,AUC,AUC_scaled
0,scaled/full_feature/bbknn,27.40001712139877,0.6770022670366063
1,scaled/full_feature/combat,26.55869454838431,0.6869199719260084
2,scaled/full_feature/conos,37.46873884211302,0.5583098488815055
3,scaled/full_feature/desc,42.97420465571626,0.4934101457600597
4,scaled/full_feature/fastmnn,37.122521335422846,0.5623911408485032
5,scaled/full_feature/harmony,34.70240889356235,0.5909199855121425
6,scaled/full_feature/mnn,53.02176905131371,0.37496713504211554
7,scaled/full_feature/saucie,28.52805077266476,0.6637047457083884
8,scaled/full_feature/scanorama,36.678445614786135,0.5676260080529373
9,scaled/full_feature/scgen,61.98321849179489,0.2693274983763072
10,scaled/full_feature/seurat,42.42017695422452,0.49994115232067216
11,scaled/full_feature/seuratrpca,41.10885136367883,0.5153993613811458
12,unscaled/full_feature/bbknn,25.986919299242583,0.6936601906791247
13,unscaled/full_feature/combat,25.64499874611289,0.6976908291646835
14,unscaled/full_feature/conos,33.51396673317104,0.6049296163041147
15,unscaled/full_feature/desc,42.33187469121485,0.5009820798004359
16,unscaled/full_feature/fastmnn,33.30806685348964,0.6073568116616894
17,unscaled/full_feature/harmony,31.9292997128971,0.6236100372973774
18,unscaled/full_feature/liger,39.36667116376722,0.5359365841314809
19,unscaled/full_feature/mnn,54.92952326792113,0.35247808752490384
20,unscaled/full_feature/saucie,27.99228684177104,0.6700204547211057
21,unscaled/full_feature/scanorama,33.48116534317187,0.6053162866686199
22,unscaled/full_feature/scanvi,44.31180869979545,0.47764216021734884
23,unscaled/full_feature/scgen,57.355756120372064,0.3238770940470226
24,unscaled/full_feature/scvi,43.485628580741704,0.4873813623605978
25,unscaled/full_feature/seurat,41.50862441937129,0.5106867442277914
26,unscaled/full_feature/seuratrpca,37.99658966390156,0.5520874214273486
27,unscaled/full_feature/trvae,58.6066791232781,0.30913092464646186
28,scaled/hvg/bbknn,22.554830424059006,0.7341184473693156
29,scaled/hvg/combat,21.21406530341523,0.7499236964129784
30,scaled/hvg/conos,35.42221831402043,0.582434705742296
31,scaled/hvg/desc,37.77499236453899,0.5546996615952213
32,scaled/hvg/fastmnn,31.10192764013146,0.6333632904663989
33,scaled/hvg/harmony,28.21902774829894,0.6673475805234697
34,scaled/hvg/mnn,46.108675532059245,0.4564602788087765
35,scaled/hvg/saucie,23.84643062539443,0.7188927657546647
36,scaled/hvg/scanorama,30.918482110689926,0.6355257887549716
37,scaled/hvg/scgen,52.40404617034801,0.38224899509598076
38,scaled/hvg/seurat,41.77427325629777,0.5075552143564248
39,scaled/hvg/seuratrpca,37.45113825382951,0.5585173286830402
40,unscaled/hvg/bbknn,22.407595426084782,0.7358540875460293
41,unscaled/hvg/combat,21.369405383987363,0.7480925116498139
42,unscaled/hvg/conos,33.032151253555355,0.6106093685076632
43,unscaled/hvg/desc,37.59442069136261,0.5568282822020978
44,unscaled/hvg/fastmnn,30.24412013827219,0.6434753235060846
45,unscaled/hvg/harmony,26.793286482781145,0.6841545479977694
46,unscaled/hvg/liger,36.97462425018166,0.5641345858629039
47,unscaled/hvg/mnn,49.73719102249633,0.4136864997910097
48,unscaled/hvg/saucie,23.853448600381494,0.7188100362439211
49,unscaled/hvg/scanorama,28.880885761876694,0.6595454453283673
50,unscaled/hvg/scanvi,37.82887118895368,0.554064525563606
51,unscaled/hvg/scgen,52.0858419958021,0.38600005943081106
52,unscaled/hvg/scvi,36.62719249799644,0.5682301916363648
53,unscaled/hvg/seurat,36.1990951471184,0.57327670212607
54,unscaled/hvg/seuratrpca,35.138453596515305,0.5857797897998374
55,unscaled/hvg/trvae,51.78525524272697,0.3895434455306055
