,metrics,AUC,AUC_scaled
0,scaled/full_feature/bbknn,45.44193997241171,0.3877941847359666
1,scaled/full_feature/combat,47.26010503109739,0.3632993849384004
2,scaled/full_feature/conos,55.53269204733342,0.25184890809493454
3,scaled/full_feature/desc,46.12703249830566,0.378564437313193
4,scaled/full_feature/fastmnn,48.27147262357882,0.3496739736583666
5,scaled/full_feature/harmony,48.44613318191545,0.34732090049344744
6,scaled/full_feature/mnn,52.84912693988484,0.28800260587757964
7,scaled/full_feature/saucie,45.96551283451794,0.3807404728766035
8,scaled/full_feature/scanorama,50.9805866559841,0.3131760740119426
9,scaled/full_feature/scgen,45.341862684595014,0.3891424523850685
10,scaled/full_feature/seurat,61.66866490140856,0.1691834614646267
11,scaled/full_feature/seuratrpca,55.75015096046322,0.24891924419238365
12,unscaled/full_feature/bbknn,44.42355600667328,0.40151412244934825
13,unscaled/full_feature/combat,47.66437411283785,0.3578529651129436
14,unscaled/full_feature/conos,50.03532098188606,0.3259109427918325
15,unscaled/full_feature/desc,44.62664499420662,0.39877805397913146
16,unscaled/full_feature/fastmnn,45.473198792016234,0.38737305766366736
17,unscaled/full_feature/harmony,47.985184953454926,0.3535309167509073
18,unscaled/full_feature/liger,46.93329697271133,0.3677022294019193
19,unscaled/full_feature/mnn,55.79805552562627,0.24827386124024042
20,unscaled/full_feature/saucie,45.19896003369724,0.391067674634589
21,unscaled/full_feature/scanorama,48.63166761358212,0.34482133163553785
22,unscaled/full_feature/scanvi,43.79380033040611,0.40999835722102307
23,unscaled/full_feature/scgen,48.4448749796786,0.3473378513262386
24,unscaled/full_feature/scvi,41.72451973691635,0.4378762518161162
25,unscaled/full_feature/seurat,53.94565916771356,0.2732298341405296
26,unscaled/full_feature/seuratrpca,53.3404410104443,0.2813834929765865
27,unscaled/full_feature/trvae,66.632173647467,0.10231376091276467
28,scaled/hvg/bbknn,38.36152341366882,0.48318342635694
29,scaled/hvg/combat,41.74422175057762,0.43761082108531624
30,scaled/hvg/conos,55.11422350161929,0.25748662684872914
31,scaled/hvg/desc,39.89942424088612,0.4624644202957243
32,scaled/hvg/fastmnn,44.16843057991451,0.40495123957018997
33,scaled/hvg/harmony,43.91242501525319,0.4084002141412747
34,scaled/hvg/mnn,44.03402342754781,0.40676200822007436
35,scaled/hvg/saucie,38.224470977126295,0.4850298329737873
36,scaled/hvg/scanorama,44.191080945902655,0.4046460878582643
37,scaled/hvg/scgen,43.67260972280635,0.4116310690896844
38,scaled/hvg/seurat,55.685025266911495,0.24979663473380143
39,scaled/hvg/seuratrpca,51.644331234186595,0.30423393177786906
40,unscaled/hvg/bbknn,37.744218908960065,0.49149991565737094
41,unscaled/hvg/combat,41.617793346508904,0.43931409793116416
42,unscaled/hvg/conos,50.15776667387519,0.3242613220948446
43,unscaled/hvg/desc,38.634013748337466,0.4795123646111461
44,unscaled/hvg/fastmnn,41.953779197696285,0.4347876078194254
45,unscaled/hvg/harmony,41.440378049311725,0.44170428366546277
46,unscaled/hvg/liger,45.91807071343298,0.38137962566000805
47,unscaled/hvg/mnn,44.0488819560672,0.40656183020013603
48,unscaled/hvg/saucie,39.21130542100698,0.47173493875022665
49,unscaled/hvg/scanorama,41.314902652759,0.44339472134239233
50,unscaled/hvg/scanvi,37.817153650956044,0.490517319553159
51,unscaled/hvg/scgen,44.28691564607399,0.4033549774702704
52,unscaled/hvg/scvi,35.61640431627752,0.5201663957467946
53,unscaled/hvg/seurat,48.77530436013566,0.3428862194554885
54,unscaled/hvg/seuratrpca,48.19445964548014,0.3507115128363031
55,unscaled/hvg/trvae,63.41479630105106,0.1456591181437813
