,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,PCR_batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,kBET,iLISI,cLISI,hvg_overlap,trajectory
/pancreas/metrics/unscaled/hvg/mnn_full,0.913866503202467,0.951112722518898,0.617242477834225,0.905701905054919,0.855878437307926,0.470498471863989,0.107692307692308,0.520902156829834,0.852677842474146,0.004748941356921,0.07924053136125,1,0.477220989055308,
/pancreas/metrics/unscaled/full_feature/mnn_full,0.632615412598558,0.262192519680191,0.564448088407517,0.84482008039135,0.71254460980537,0.741363581608263,0.106870229007634,0.550404392182827,0.786301782866913,0.00314146349235,0.004064867867098,0.999383593350993,0.202589351840674,
/lung_atlas/metrics/unscaled/hvg/mnn_full,0.722075521697309,0.48051177205527,0.577153839170933,0.906870527043149,0.674970620592969,0.791230646771254,0.775780510879849,0.52308464422822,0.648763542820117,0.003966536959696,0.053908957689041,0.997466017168685,0.309706938978358,
/lung_atlas/metrics/unscaled/full_feature/mnn_full,0.722317741437624,0.446907308674765,0.527266031131148,0.892210882701415,0.469515876460631,0.937218228699,0.693203883495146,0.582459054887295,0.582718331875994,0.002135288040232,0.01933887035847,0.998203997855553,0.149389611552422,
/immune_cell_hum/metrics/unscaled/hvg/mnn_full,0.772947522328917,0.561214424203942,0.586780704557896,0.897345044847017,0.901297423286734,0.772180953629843,0.81797817551567,0.567297396250069,0.990930651492352,0.105201397816788,0.15155918795064,0.996077478626231,0.382496807269157,0.857006472234829
/immune_cell_hum/metrics/unscaled/full_feature/mnn_full,0.670331176235606,0.359736691400673,0.569710314273834,0.866180463672334,0.858655826112549,0.915679935529299,0.846900269366264,0.587351927999407,0.922328209857487,0.043032359373908,0.034510992313085,0.997017681765536,0.238481674996579,0.869859557995188
/immune_cell_hum_mou/metrics/unscaled/hvg/mnn_full,0.67381965460199,0.527822824546443,0.526868483051658,0.923167662425727,0.623339637235024,0.782074443503222,0.243669374104157,0.485911836847663,0.834978969203948,0.013757789937758,0.053691935844769,0.992261559000198,0.342326786883216,0.863365208206033
/immune_cell_hum_mou/metrics/unscaled/full_feature/mnn_full,0.630026305796601,0.348783677299172,0.512682873755693,0.89304978685767,0.472657875730543,0.933565268659054,0.171907756813417,0.451974876224995,0.793799781381936,0.001029046546279,0.027935856798825,0.994860174240044,0.196986462535688,0.812265911550007
/simulations_1_1/metrics/unscaled/hvg/mnn_full,1,1,0.647728875279427,0.911072768483858,0.922767744339445,,1,0.498990343883634,1,0.877181610647538,0.469001732487157,1,0.55410955243821,
/simulations_1_1/metrics/unscaled/full_feature/mnn_full,0.744141718314664,0.394564468316669,0.633877903223038,0.836752954086337,0.634175894930263,,1,0.556543186306953,1,0.000331476123339,1.78E-16,1,0.437796913774,
/simulations_2/metrics/unscaled/hvg/mnn_full,0.90843043953639,0.876782063247961,0.554218906909227,0.892188245409369,0.723243000078465,,0.999063572989283,0.499927761266008,1,0.048010624314528,0.01735537580326,1,0.463434741973908,
/simulations_2/metrics/unscaled/full_feature/mnn_full,0.590969411612996,0.24066218237527,0.558318603783846,0.653777540093428,0.412488916050946,,0.454589294325671,0.520942036062479,0.853331138193072,4.73E-09,0,1,0.400892153785483,
/pancreas/metrics/scaled/hvg/mnn_full,0.917852543105203,0.949079705426828,0.595708325505257,0.891655363823846,0.931881356544966,0.567015748969447,0.094594594594595,0.420745559036732,0.985414488742178,0.005129771653249,0.162744822293329,0.999560077087644,0.292746036472767,
/pancreas/metrics/scaled/full_feature/mnn_full,0.785251934870481,0.692630055830857,0.541201882064343,0.888926057687407,0.947519093005204,0.785932862020377,0.135922330097087,0.4645662792027,0.907795886725683,0.004824866834909,0.085279080319681,0.999237850069408,0.059214757088678,
/lung_atlas/metrics/scaled/hvg/mnn_full,0.730352769570223,0.566133915778952,0.565819628536701,0.90949119364186,0.906506224899114,0.730483634938416,0.865566037735849,0.478562477976084,0.755241874716508,0.005845298555325,0.103841539651103,0.993937530324,0.271050652509839,
/lung_atlas/metrics/scaled/full_feature/mnn_full,0.705458941788419,0.481525426975325,0.54085561260581,0.903714771331154,0.933853949345439,0.690776371353838,0.84390243902439,0.446725822985172,0.640525177655929,0.00267350484861,0.064800328560597,0.994393203796209,0.033564465275933,
/immune_cell_hum/metrics/scaled/hvg/mnn_full,0.811786275291614,0.769583744605989,0.577986113727093,0.897178599635324,0.946163832423928,0.783753788897933,0.817007528254516,0.603705959394574,0.975303468614843,0.006387633533818,0.241775107083676,0.993114214327114,0.303611172545895,0.843207839603926
/immune_cell_hum/metrics/scaled/full_feature/mnn_full,0.772185921861165,0.712023310098167,0.565437562763691,0.892143414018185,0.953257841190033,0.702735000518917,0.80971032148431,0.630906382575631,0.955657682074155,0.025641116151371,0.164466024604067,0.993550417481575,0.088112224448898,0.850857201289624
/immune_cell_hum_mou/metrics/scaled/hvg/mnn_full,0.640037224032268,0.393535615435009,0.496891171904281,0.932802690441521,0.949017934279452,0.770875643689789,0.147619047619048,0.40221731364727,0.809015830616821,0.00339041053469,0.077322816716756,0.987600905800406,0.290556712793089,0.261818389240214
/immune_cell_hum_mou/metrics/scaled/full_feature/mnn_full,0.654793438796016,0.436432425193756,0.470060247927904,0.90988266680261,0.920876513697093,0.782170330130617,0.22153574580759,0.36832931637764,0.792451741785334,0.003370640049561,0.058751059195524,0.991414972313314,0.088223737154771,0.924069602960926
